# http://earthquake.usgs.gov/earthquakes/search/
# Temblores de magnitud 5 a 10, durante un periodo de 10 años, limitada al area Chile.

time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-11-06T08:44:07.540Z,-30.1424,-72.2616,8.49,5.4,mww,,94,0.757,0.79,us,us10003v5a,2016-03-25T13:57:08.000Z,"90km WSW of Coquimbo, Chile",earthquake,4.3,4.1,,,reviewed,us,us
2015-11-01T15:16:17.480Z,-23.2468,-68.4169,111,5.8,mww,,31,0.366,0.97,us,us2000416s,2016-05-03T15:13:04.046Z,"41km SSW of San Pedro de Atacama, Chile",earthquake,5.9,1.8,,,reviewed,us,us
2015-10-26T14:38:58.330Z,-17.9737,-69.4634,115.72,5,mb,,80,0.923,0.59,us,us10003rik,2016-01-22T23:41:17.040Z,"26km NNE of Putre, Chile",earthquake,7.4,5.3,0.048,137,reviewed,us,us
2015-10-24T21:24:45.270Z,-31.442,-71.4883,39.92,5,mww,,74,0.776,0.96,us,us10003r82,2016-02-19T01:58:31.000Z,"37km NW of Illapel, Chile",earthquake,4.5,3.7,,,reviewed,us,us
2015-10-20T10:06:14.040Z,-30.7867,-71.4045,46.02,5,mww,,47,0.228,1.03,us,us10003pvh,2016-02-19T01:58:01.000Z,"28km SW of Ovalle, Chile",earthquake,4.9,4,,,reviewed,us,us
2015-10-17T17:52:19.940Z,-42.6607,-82.4526,10.13,5.6,mww,,76,7.707,0.76,us,us10003pdi,2016-03-02T18:46:35.823Z,"West Chile Rise",earthquake,9.9,3.6,,,reviewed,us,us
2015-10-12T03:31:32.270Z,-31.1866,-71.8325,19.65,5,mwr,,82,0.538,0.97,us,us10003mxb,2016-01-11T21:07:21.040Z,"80km NW of Illapel, Chile",earthquake,5.8,3,,,reviewed,us,guc
2015-10-12T03:15:19.160Z,-31.1849,-71.8227,21,5.6,mww,,45,0.534,0.89,us,us10003mxa,2016-02-19T01:57:18.000Z,"79km NW of Illapel, Chile",earthquake,5.1,1.8,,,reviewed,us,us
2015-10-09T18:27:36.650Z,-31.7323,-71.7325,35,5.5,mww,,34,1.058,1.18,us,us10003mjs,2016-02-19T01:57:06.000Z,"54km WSW of Illapel, Chile",earthquake,3.9,1.8,,,reviewed,us,us
2015-10-05T16:33:26.780Z,-30.3035,-71.5318,34,5.9,mww,,30,0.379,0.76,us,us10003kg9,2016-02-19T01:56:51.000Z,"42km SSW of Coquimbo, Chile",earthquake,4.4,1.7,,,reviewed,us,us
2015-10-04T10:11:56.000Z,-30.656,-71.627,29.9,5,mww,,,,0.87,us,us10003k6h,2016-02-19T01:56:43.000Z,"41km W of Ovalle, Chile",earthquake,4.2,3.3,,,reviewed,guc,us
2015-10-04T03:49:49.460Z,-30.3105,-72.1018,5.89,5.5,mww,,87,0.541,0.72,us,us10003k53,2016-02-19T01:56:40.000Z,"83km WSW of Coquimbo, Chile",earthquake,5.4,2.9,,,reviewed,us,us
2015-10-03T11:21:01.700Z,-29.8205,-71.7255,28.54,5.1,mww,,114,0.434,0.72,us,us10003k08,2016-02-19T01:56:39.000Z,"39km WNW of Coquimbo, Chile",earthquake,4.5,3.6,,,reviewed,us,us
2015-10-03T06:26:55.780Z,-30.301,-71.551,38,5.9,mww,,57,0.378,0.75,us,us10003jyt,2016-02-19T01:56:35.000Z,"43km SSW of Coquimbo, Chile",earthquake,4.1,1.8,,,reviewed,us,us
2015-10-03T06:03:42.080Z,-37.4557,-73.6761,14.53,5.8,mww,,118,2.02,0.84,us,us10003jyn,2016-02-19T01:56:34.000Z,"18km N of Lebu, Chile",earthquake,3.8,3.4,,,reviewed,us,us
